epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.4851871728897095,0.4690749943256378,1.2302199602127075,0.5724999904632568
1,1.0936042070388794,0.6141999959945679,1.0480942726135254,0.636900007724762
2,0.9473768472671509,0.6671500205993652,0.9734143614768982,0.6625999808311462
3,0.8492541909217834,0.7040749788284302,0.918481171131134,0.6845999956130981
4,0.7727828025817871,0.7310500144958496,0.9279390573501587,0.684499979019165
5,0.7072909474372864,0.7538999915122986,0.9233443140983582,0.692799985408783
6,0.6375868320465088,0.774399995803833,0.8682187795639038,0.7107999920845032
7,0.5756390690803528,0.7970749735832214,0.8970782160758972,0.7139999866485596
8,0.5216684341430664,0.8169500231742859,0.9260216951370239,0.7073000073432922
9,0.4565679728984833,0.839775025844574,0.938435435295105,0.7075999975204468
