epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.16829201579093933,0.9491249918937683,0.06918977946043015,0.9779999852180481
1,0.04862985387444496,0.984708309173584,0.04424287751317024,0.987416684627533
2,0.03338613733649254,0.9897500276565552,0.03407004475593567,0.9895833134651184
3,0.024443456903100014,0.9921875,0.04237581416964531,0.987666666507721
4,0.01961861364543438,0.9934999942779541,0.03862231224775314,0.9887499809265137
5,0.015375377610325813,0.9949791431427002,0.038677021861076355,0.9889166951179504
6,0.010933524928987026,0.9964374899864197,0.03683396801352501,0.9905833601951599
7,0.008576327003538609,0.9972500205039978,0.03795808553695679,0.9909999966621399
8,0.009377616457641125,0.996916651725769,0.04508579894900322,0.9879166483879089
9,0.006761171389371157,0.9976458549499512,0.053719598799943924,0.987666666507721
