epoch,loss,r2_score,val_loss,val_r2_score
0,14295.400390625,-3.6511430740356445,14191.9873046875,-5.718547821044922
1,13765.37890625,-3.478695869445801,13706.1044921875,-5.488528728485107
2,13307.916015625,-3.3298559188842773,13266.19140625,-5.280272006988525
3,12894.5927734375,-3.1953773498535156,12851.4697265625,-5.0839409828186035
4,12505.4013671875,-3.0687499046325684,12453.271484375,-4.895431995391846
5,12132.056640625,-2.9472789764404297,12065.9375,-4.712066650390625
6,11769.28125,-2.8292465209960938,11687.958984375,-4.533130168914795
7,11415.7509765625,-2.7142221927642822,11318.5048828125,-4.35822868347168
8,11070.6982421875,-2.6019558906555176,10953.4091796875,-4.185390949249268
9,10730.1572265625,-2.4911577701568604,10586.8251953125,-4.011848449707031
10,10388.6533203125,-2.3800463676452637,10214.376953125,-3.8355298042297363
11,10042.1728515625,-2.267315626144409,9833.9140625,-3.655416965484619
12,9688.796875,-2.152341365814209,9444.814453125,-3.4712157249450684
13,9328.0439453125,-2.0349669456481934,9047.36328125,-3.2830605506896973
14,8960.2822265625,-1.9153122901916504,8642.4326171875,-3.091364860534668
15,8586.431640625,-1.7936763763427734,8231.158203125,-2.896665573120117
16,8207.66015625,-1.6704397201538086,7814.396484375,-2.699368953704834
17,7824.841796875,-1.5458860397338867,7392.68359375,-2.499728202819824
18,7438.525390625,-1.420194387435913,6966.9560546875,-2.298187017440796
19,7049.65869140625,-1.293673038482666,6538.8203125,-2.095505714416504
20,6659.826171875,-1.166837215423584,6110.52734375,-1.8927497863769531
21,6271.189453125,-1.0403907299041748,5684.9345703125,-1.691272497177124
22,5886.451171875,-0.9152123928070068,5265.35107421875,-1.4926397800445557
23,5508.7001953125,-0.7923074960708618,4855.2724609375,-1.298506736755371
24,5141.16552734375,-0.6727267503738403,4458.3994140625,-1.1106255054473877
25,4787.1845703125,-0.5575555562973022,4078.8427734375,-0.9309417009353638
26,4450.35302734375,-0.44796431064605713,3721.02734375,-0.7615503072738647
27,4134.42626953125,-0.34517455101013184,3389.4248046875,-0.6045682430267334
28,3843.026611328125,-0.25036489963531494,3088.3251953125,-0.46202635765075684
29,3579.347900390625,-0.16457462310791016,2821.56640625,-0.33574163913726807
30,3345.911376953125,-0.08862388134002686,2592.14697265625,-0.22713351249694824
31,3144.409423828125,-0.023063182830810547,2401.6552734375,-0.1369539499282837
32,2975.41796875,0.03191971778869629,2249.624755859375,-0.06498205661773682
33,2837.7421875,0.07671380043029785,2133.1728515625,-0.009853243827819824
34,2727.85546875,0.11246651411056519,2047.221923828125,0.03083634376525879
35,2640.27392578125,0.14096194505691528,1984.45947265625,0.060548365116119385
36,2567.350830078125,0.16468822956085205,1935.5977783203125,0.0836796760559082
37,2498.794677734375,0.1869935393333435,1890.8018798828125,0.10488629341125488
38,2424.93408203125,0.21102482080459595,1839.806640625,0.12902766466140747
39,2339.244384765625,0.23890483379364014,1772.0914306640625,0.16108429431915283
40,2236.7958984375,0.2722373604774475,1678.513427734375,0.20538455247879028
41,2111.078369140625,0.31314074993133545,1554.0323486328125,0.2643144130706787
42,1955.9547119140625,0.36361169815063477,1396.7479248046875,0.33877354860305786
43,1771.273681640625,0.42369937896728516,1220.30322265625,0.4223031997680664
44,1567.6719970703125,0.48994314670562744,1051.049072265625,0.5024288892745972
45,1364.141357421875,0.5561637282371521,900.783447265625,0.5735652446746826
46,1172.913818359375,0.6183814406394958,766.802001953125,0.6369926333427429
47,1002.656982421875,0.6737760901451111,649.3681640625,0.6925863027572632
48,855.6859130859375,0.721594512462616,544.433349609375,0.7422628998756409
49,725.6328125,0.7639085054397583,449.1846923828125,0.787354052066803
50,609.6627807617188,0.8016404509544373,372.2603454589844,0.8237703442573547
51,514.9973754882812,0.8324407339096069,324.025390625,0.8466050028800964
52,448.19049072265625,0.8541769981384277,298.9443359375,0.8584784865379333
53,404.5595703125,0.8683727383613586,279.807861328125,0.8675377368927002
54,371.4654846191406,0.8791401982307434,252.42855834960938,0.8804992437362671
55,337.2621765136719,0.8902685642242432,216.70999145507812,0.8974085450172424
56,296.8443298339844,0.9034188985824585,183.70904541015625,0.9130313396453857
57,252.8435821533203,0.9177349805831909,157.90328979492188,0.9252479076385498
58,213.6079864501953,0.9305006265640259,134.87567138671875,0.9361492991447449
59,181.0598907470703,0.94109046459198,110.29019927978516,0.9477881193161011
60,147.33840942382812,0.9520620703697205,89.40609741210938,0.9576747417449951
61,114.18821716308594,0.9628477692604065,80.77316284179688,0.9617616534233093
62,91.0023422241211,0.9703915119171143,77.74797058105469,0.9631937742233276
63,76.77674865722656,0.9750199317932129,65.7354736328125,0.9688805341720581
64,62.77002716064453,0.9795771837234497,44.12395477294922,0.9791115522384644
65,46.95265579223633,0.9847235083580017,29.02578353881836,0.9862590432167053
66,35.8634147644043,0.9883314967155457,27.94594955444336,0.9867702722549438
67,32.11155319213867,0.9895521998405457,26.009456634521484,0.9876869916915894
68,27.22309684753418,0.9911426901817322,17.597267150878906,0.9916693568229675
69,20.38315773010254,0.9933681488037109,12.686697006225586,0.9939940571784973
70,18.622745513916016,0.9939408898353577,11.291950225830078,0.9946543574333191
71,18.450048446655273,0.9939970970153809,8.964475631713867,0.9957561492919922
72,14.171072006225586,0.9953892827033997,10.108403205871582,0.9952146410942078
73,9.781380653381348,0.9968175292015076,12.268136978149414,0.9941921830177307
74,8.759737014770508,0.9971499443054199,7.972767353057861,0.9962256550788879
75,5.925231456756592,0.9980721473693848,3.085355281829834,0.998539388179779
76,3.1688499450683594,0.9989689588546753,3.989398717880249,0.9981114268302917
77,4.476625919342041,0.9985435009002686,4.78614616394043,0.9977341890335083
78,4.86149263381958,0.9984182715415955,3.2926313877105713,0.9984412789344788
79,3.8182761669158936,0.9987576603889465,3.202226161956787,0.9984840750694275
80,4.713982582092285,0.9984662532806396,2.8151438236236572,0.998667299747467
81,4.348513603210449,0.9985851645469666,2.052668571472168,0.9990282654762268
82,2.9909379482269287,0.999026894569397,2.811368942260742,0.9986690878868103
83,3.542659044265747,0.9988473653793335,2.5856034755706787,0.9987759590148926
84,3.1581664085388184,0.998972475528717,1.8318455219268799,0.9991328120231628
85,1.9655085802078247,0.9993605017662048,2.118471622467041,0.9989970922470093
86,2.0151736736297607,0.9993443489074707,1.2581031322479248,0.9994044303894043
87,1.3272634744644165,0.9995681643486023,0.527847170829773,0.9997501373291016
88,0.8742620348930359,0.9997155666351318,1.1500194072723389,0.9994555711746216
89,1.6308027505874634,0.9994693994522095,1.038090705871582,0.9995085597038269
90,1.5110868215560913,0.9995083808898926,1.0015201568603516,0.9995259046554565
91,1.4541648626327515,0.999526858329773,1.2128220796585083,0.9994258284568787
92,1.578121542930603,0.9994865655899048,0.6146303415298462,0.9997090101242065
93,0.9227681756019592,0.9996997714042664,0.45284393429756165,0.9997856020927429
94,0.9029188752174377,0.9997062087059021,0.48608067631721497,0.9997698664665222
95,0.9239501357078552,0.9996994137763977,0.4348267912864685,0.9997941255569458
96,0.6086090207099915,0.9998019933700562,0.6643185615539551,0.999685525894165
