epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,3.781752347946167,0.13332499563694,3.3122565746307373,0.21070000529289246
1,3.0466270446777344,0.25817498564720154,3.0082547664642334,0.2632000148296356
2,2.7112503051757812,0.32475000619888306,2.78818941116333,0.3131999969482422
3,2.4763946533203125,0.37197500467300415,2.7081453800201416,0.3328999876976013
4,2.278712749481201,0.41327500343322754,2.6168718338012695,0.3495999872684479
5,2.104260206222534,0.45092499256134033,2.6630234718322754,0.350600004196167
6,1.9417197704315186,0.4862250089645386,2.686138153076172,0.35269999504089355
7,1.7987014055252075,0.5184749960899353,2.691488742828369,0.361299991607666
8,1.6670783758163452,0.5512750148773193,2.709536075592041,0.3562999963760376
9,1.535226821899414,0.5820500254631042,2.8083956241607666,0.362199991941452
