epoch,accuracy,loss,val_accuracy,val_loss
0,0.5024444460868835,1.3805513381958008,0.7114999890327454,0.8060645461082458
1,0.6814629435539246,0.8708831667900085,0.7578333616256714,0.6701809763908386
2,0.7300370335578918,0.7490467429161072,0.7860000133514404,0.6085430979728699
3,0.7587962746620178,0.681594967842102,0.7948333621025085,0.5761679410934448
4,0.7751851677894592,0.6406924724578857,0.809333324432373,0.5517638921737671
5,0.7848518490791321,0.6140644550323486,0.8186666369438171,0.5326688885688782
6,0.7951111197471619,0.5910815000534058,0.8188333511352539,0.5222943425178528
7,0.7977036833763123,0.578207790851593,0.824999988079071,0.5111138224601746
8,0.8043518662452698,0.5647788047790527,0.8271666765213013,0.5010101199150085
9,0.8075555562973022,0.5537647604942322,0.8273333311080933,0.49368295073509216
