epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.4628927707672119,0.8330833315849304,0.3484061360359192,0.871916651725769
1,0.3026409447193146,0.8899375200271606,0.285574346780777,0.8970833420753479
2,0.2587382197380066,0.9054375290870667,0.2713311016559601,0.9011666774749756
3,0.22932115197181702,0.9161666631698608,0.2547328770160675,0.9077500104904175
4,0.20417974889278412,0.9245833158493042,0.2438410073518753,0.9104999899864197
5,0.1803581714630127,0.9334583282470703,0.2284228652715683,0.9164999723434448
6,0.16079509258270264,0.9417083263397217,0.23836322128772736,0.9154166579246521
7,0.1407293677330017,0.9481458067893982,0.2420351356267929,0.9148333072662354
8,0.12298336625099182,0.9545833468437195,0.24660009145736694,0.9167500138282776
9,0.1079978197813034,0.9606249928474426,0.2559409439563751,0.9198333621025085
