epoch,accuracy,loss,val_accuracy,val_loss
0,0.15204444527626038,2.5279722213745117,0.2547999918460846,2.063777446746826
1,0.2152000069618225,2.221247911453247,0.29760000109672546,1.9654884338378906
2,0.2519777715206146,2.076024055480957,0.30799999833106995,1.9291318655014038
3,0.2745555639266968,2.0141327381134033,0.32499998807907104,1.9056105613708496
4,0.2900888919830322,1.9740363359451294,0.3325999975204468,1.8891922235488892
5,0.3006444573402405,1.948401689529419,0.34060001373291016,1.8782665729522705
6,0.3108222186565399,1.9305864572525024,0.3424000144004822,1.8717246055603027
7,0.31664443016052246,1.920060634613037,0.34439998865127563,1.8597917556762695
8,0.3184888958930969,1.9129843711853027,0.35040000081062317,1.8514453172683716
9,0.3217555582523346,1.906915307044983,0.35040000081062317,1.8485593795776367
10,0.3244222104549408,1.9020718336105347,0.35499998927116394,1.839661717414856
11,0.32724443078041077,1.8942705392837524,0.35899999737739563,1.837374210357666
12,0.32706665992736816,1.8982306718826294,0.36059999465942383,1.8341352939605713
13,0.330133318901062,1.8937126398086548,0.36559998989105225,1.8385989665985107
14,0.3314000070095062,1.8907456398010254,0.36239999532699585,1.832985758781433
15,0.33295556902885437,1.8870353698730469,0.3587999939918518,1.8348737955093384
16,0.33604443073272705,1.8900963068008423,0.35760000348091125,1.8367259502410889
17,0.33202221989631653,1.887657642364502,0.35519999265670776,1.836297631263733
18,0.33613333106040955,1.8836593627929688,0.35679998993873596,1.835793137550354
19,0.3317111134529114,1.8839898109436035,0.3630000054836273,1.8319966793060303
20,0.33424443006515503,1.8819475173950195,0.3569999933242798,1.8374085426330566
21,0.3349111080169678,1.8840055465698242,0.3582000136375427,1.8364390134811401
22,0.3366888761520386,1.8850516080856323,0.3596000075340271,1.8387552499771118
23,0.33391112089157104,1.880656123161316,0.36000001430511475,1.8333847522735596
24,0.3356444537639618,1.8808624744415283,0.3571999967098236,1.8393019437789917
