epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.17836233973503113,0.9458333253860474,0.06887587159872055,0.9797499775886536
1,0.051551997661590576,0.9839791655540466,0.04906260594725609,0.9848333597183228
2,0.034613948315382004,0.989187479019165,0.038622383028268814,0.9890000224113464
3,0.025877518579363823,0.9914166927337646,0.03926851972937584,0.9882500171661377
4,0.018908053636550903,0.9940833449363708,0.04409670829772949,0.987500011920929
