epoch,accuracy,loss,val_accuracy,val_loss
0,0.5391851663589478,1.4105217456817627,0.8510000109672546,0.6493715643882751
1,0.7730925679206848,0.7241746783256531,0.8858333230018616,0.43773353099823
2,0.818407416343689,0.5883835554122925,0.9013333320617676,0.36878955364227295
3,0.8419259190559387,0.5191084146499634,0.909166693687439,0.33508965373039246
4,0.8541666865348816,0.48595160245895386,0.9141666889190674,0.3166761100292206
5,0.8613148331642151,0.4647082984447479,0.9183333516120911,0.3031397759914398
6,0.867981493473053,0.4502961039543152,0.9181666374206543,0.2954946756362915
7,0.8690000176429749,0.44041377305984497,0.9200000166893005,0.29093948006629944
8,0.8737037181854248,0.43210887908935547,0.9200000166893005,0.2845170795917511
9,0.8756481409072876,0.4259066879749298,0.9226666688919067,0.27972444891929626
