epoch,accuracy,loss,val_accuracy,val_loss
0,0.1823333352804184,2.1955575942993164,0.2847999930381775,2.0315818786621094
1,0.2944444417953491,1.9749411344528198,0.32820001244544983,1.9372543096542358
2,0.33926665782928467,1.8829996585845947,0.35019999742507935,1.8629077672958374
3,0.3700222074985504,1.8029820919036865,0.376800000667572,1.7690589427947998
4,0.3967333436012268,1.727109432220459,0.40380001068115234,1.6939293146133423
5,0.4138222336769104,1.662150502204895,0.43220001459121704,1.6085700988769531
6,0.42951110005378723,1.6080527305603027,0.43799999356269836,1.5771360397338867
7,0.44671112298965454,1.5675337314605713,0.4553999900817871,1.5261305570602417
8,0.4495111107826233,1.5502183437347412,0.42879998683929443,1.5659210681915283
9,0.44884443283081055,1.550606369972229,0.4717999994754791,1.4884244203567505
